modelo cargado: steps=12000 vocab=2048
b2: modelo+corpus+buffers OK (train=30523204 val=30523204)
PPL inicial: 10.11
== step 1/8000  loss=2.3450  PPL=10.79  (66s) ==
step 2/8000  loss=2.3523
step 3/8000  loss=2.3605
step 4/8000  loss=2.4807
step 5/8000  loss=2.4519
step 6/8000  loss=2.2964
step 7/8000  loss=2.3342
step 8/8000  loss=2.3388
step 9/8000  loss=2.4688
step 10/8000  loss=2.4657
step 11/8000  loss=2.3461
step 12/8000  loss=2.3168
step 13/8000  loss=2.4804
step 14/8000  loss=2.3666
step 15/8000  loss=2.3784
step 16/8000  loss=2.2574
step 17/8000  loss=2.4348
step 18/8000  loss=2.3137
step 19/8000  loss=2.1957
step 20/8000  loss=2.2775
step 21/8000  loss=2.4283
step 22/8000  loss=2.2179
step 23/8000  loss=2.4769
step 24/8000  loss=2.3093
step 25/8000  loss=2.3142
step 26/8000  loss=2.3971
step 27/8000  loss=2.4802
step 28/8000  loss=2.2656
step 29/8000  loss=2.3803
step 30/8000  loss=2.1826
step 31/8000  loss=2.1968
step 32/8000  loss=2.3182
step 33/8000  loss=2.2646
step 34/8000  loss=2.3771
step 35/8000  loss=2.3604
step 36/8000  loss=2.3737
step 37/8000  loss=2.4013
step 38/8000  loss=2.4052
step 39/8000  loss=2.4347
step 40/8000  loss=2.4054
step 41/8000  loss=2.3593
step 42/8000  loss=2.4367
step 43/8000  loss=2.3830
step 44/8000  loss=2.3903
step 45/8000  loss=2.4326
step 46/8000  loss=2.3446
step 47/8000  loss=2.2646
step 48/8000  loss=2.4585
step 49/8000  loss=2.3970
step 50/8000  loss=2.2167
step 51/8000  loss=2.2797
step 52/8000  loss=2.4638
step 53/8000  loss=2.2096
step 54/8000  loss=2.1997
step 55/8000  loss=2.3016
step 56/8000  loss=2.2814
step 57/8000  loss=2.2008
step 58/8000  loss=2.3293
step 59/8000  loss=2.2239
step 60/8000  loss=2.1542
step 61/8000  loss=2.2410
step 62/8000  loss=2.3521
step 63/8000  loss=2.4310
step 64/8000  loss=2.4571
step 65/8000  loss=2.2255
step 66/8000  loss=2.1909
step 67/8000  loss=2.1942
step 68/8000  loss=2.3935
step 69/8000  loss=2.3010
step 70/8000  loss=2.2730
step 71/8000  loss=2.3240
step 72/8000  loss=2.2118
step 73/8000  loss=2.2106
step 74/8000  loss=2.2555
step 75/8000  loss=2.2234
step 76/8000  loss=2.2808
step 77/8000  loss=2.2853
step 78/8000  loss=2.2543
step 79/8000  loss=2.2988
step 80/8000  loss=2.3362
step 81/8000  loss=2.3455
step 82/8000  loss=2.2572
step 83/8000  loss=2.2789
step 84/8000  loss=2.2384
step 85/8000  loss=2.0962
step 86/8000  loss=2.1645
step 87/8000  loss=2.1934
step 88/8000  loss=2.1600
step 89/8000  loss=2.2789
step 90/8000  loss=2.1909
step 91/8000  loss=2.0864
step 92/8000  loss=2.2896
step 93/8000  loss=2.1383
step 94/8000  loss=2.1521
step 95/8000  loss=2.3045
step 96/8000  loss=2.3082
step 97/8000  loss=2.1674
step 98/8000  loss=2.2613
step 99/8000  loss=2.1438
step 100/8000  loss=2.2835
step 101/8000  loss=2.1538
step 102/8000  loss=2.2124
step 103/8000  loss=2.1984
step 104/8000  loss=2.3505
step 105/8000  loss=2.1253
step 106/8000  loss=2.2894
step 107/8000  loss=2.0771
step 108/8000  loss=2.1674
step 109/8000  loss=2.2057
step 110/8000  loss=2.3062
step 111/8000  loss=2.2653
step 112/8000  loss=2.1444
step 113/8000  loss=1.9315
step 114/8000  loss=2.2368
step 115/8000  loss=2.3841
step 116/8000  loss=2.1633
step 117/8000  loss=2.1976
step 118/8000  loss=2.2448
step 119/8000  loss=2.2227
step 120/8000  loss=2.1666
step 121/8000  loss=2.0904
step 122/8000  loss=2.1157
step 123/8000  loss=2.0394
step 124/8000  loss=2.0506
step 125/8000  loss=2.2793
step 126/8000  loss=2.0609
step 127/8000  loss=2.1984
step 128/8000  loss=2.1407
step 129/8000  loss=2.0986
step 130/8000  loss=2.2351
step 131/8000  loss=1.9463
step 132/8000  loss=1.9055
step 133/8000  loss=2.1324
step 134/8000  loss=2.1447
step 135/8000  loss=2.0069
step 136/8000  loss=1.9273
step 137/8000  loss=2.1326
step 138/8000  loss=2.1770
step 139/8000  loss=1.8577
step 140/8000  loss=2.1202
step 141/8000  loss=2.0196
step 142/8000  loss=2.2662
step 143/8000  loss=2.1218
step 144/8000  loss=2.1813
step 145/8000  loss=2.1844
step 146/8000  loss=2.1241
step 147/8000  loss=1.9420
step 148/8000  loss=2.1364
step 149/8000  loss=2.0424
step 150/8000  loss=2.0454
step 151/8000  loss=2.0140
step 152/8000  loss=2.0865
step 153/8000  loss=2.1736
step 154/8000  loss=2.0837
step 155/8000  loss=2.0791
step 156/8000  loss=1.9651
step 157/8000  loss=2.0677
step 158/8000  loss=1.9883
step 159/8000  loss=2.0043
step 160/8000  loss=1.9731
step 161/8000  loss=2.0053
step 162/8000  loss=1.9832
step 163/8000  loss=1.9775
step 164/8000  loss=1.8899
step 165/8000  loss=2.0318
step 166/8000  loss=2.0867
step 167/8000  loss=2.0465
step 168/8000  loss=2.0728
step 169/8000  loss=2.0964
step 170/8000  loss=1.9181
step 171/8000  loss=1.9926
step 172/8000  loss=1.9545
step 173/8000  loss=1.9361
step 174/8000  loss=2.0600
step 175/8000  loss=1.9650
step 176/8000  loss=1.8760
step 177/8000  loss=1.9949
step 178/8000  loss=1.8676
step 179/8000  loss=1.8742
step 180/8000  loss=2.0358
step 181/8000  loss=2.0200
step 182/8000  loss=2.0244
step 183/8000  loss=2.0065
step 184/8000  loss=1.8717
step 185/8000  loss=1.8281
step 186/8000  loss=2.0136
step 187/8000  loss=2.0673
step 188/8000  loss=2.0863
step 189/8000  loss=1.8536
step 190/8000  loss=2.0044
step 191/8000  loss=1.8811
step 192/8000  loss=1.9112
step 193/8000  loss=1.9008
step 194/8000  loss=2.0135
step 195/8000  loss=1.9292
step 196/8000  loss=1.8111
step 197/8000  loss=1.9261
step 198/8000  loss=2.0353
step 199/8000  loss=1.8508
step 200/8000  loss=1.8017
step 201/8000  loss=1.8145
step 202/8000  loss=1.7186
step 203/8000  loss=1.9465
step 204/8000  loss=1.8899
step 205/8000  loss=1.8861
step 206/8000  loss=2.0029
step 207/8000  loss=1.8944
step 208/8000  loss=1.9236
step 209/8000  loss=1.9751
step 210/8000  loss=1.9651
step 211/8000  loss=1.7280
step 212/8000  loss=1.7770
step 213/8000  loss=1.9384
step 214/8000  loss=1.8165
step 215/8000  loss=1.9458
step 216/8000  loss=1.8575
step 217/8000  loss=1.8770
step 218/8000  loss=1.9257
step 219/8000  loss=1.9021
step 220/8000  loss=1.7644
step 221/8000  loss=1.7445
step 222/8000  loss=1.8459
step 223/8000  loss=1.8223
step 224/8000  loss=1.9203
step 225/8000  loss=1.8880
step 226/8000  loss=1.8655
step 227/8000  loss=1.7485
step 228/8000  loss=1.7234
step 229/8000  loss=1.8124
step 230/8000  loss=1.8387
step 231/8000  loss=1.8002
step 232/8000  loss=1.8200
step 233/8000  loss=1.8650
step 234/8000  loss=1.8406
step 235/8000  loss=1.8414
step 236/8000  loss=1.7239
step 237/8000  loss=1.8416
step 238/8000  loss=1.7604
step 239/8000  loss=1.8853
step 240/8000  loss=1.7618
step 241/8000  loss=1.8577
step 242/8000  loss=1.7609
step 243/8000  loss=1.6382
step 244/8000  loss=1.8512
step 245/8000  loss=1.8020
step 246/8000  loss=1.7208
step 247/8000  loss=1.8311
step 248/8000  loss=1.7662
step 249/8000  loss=1.7297
step 250/8000  loss=1.9270
step 251/8000  loss=1.7557
step 252/8000  loss=1.8620
step 253/8000  loss=1.8665
step 254/8000  loss=1.9078
step 255/8000  loss=1.9323
step 256/8000  loss=1.8829
step 257/8000  loss=1.7334
step 258/8000  loss=1.8134
step 259/8000  loss=1.8526
step 260/8000  loss=1.7730
step 261/8000  loss=1.7687
step 262/8000  loss=1.6326
step 263/8000  loss=1.8195
step 264/8000  loss=1.8864
step 265/8000  loss=1.6365
step 266/8000  loss=1.5190
step 267/8000  loss=1.7487
step 268/8000  loss=1.8278
step 269/8000  loss=1.8890
step 270/8000  loss=1.7864
step 271/8000  loss=1.8103
step 272/8000  loss=1.8270
step 273/8000  loss=1.7736
step 274/8000  loss=1.7204
step 275/8000  loss=1.7085
step 276/8000  loss=1.6841
step 277/8000  loss=1.9380
